nitrogen,phosphorus,potassium,crop_name,source_file,processed_date,country,agro_ecological_zone,crop_code,area_hectares,suitability_very_suitable,suitability_suitable,suitability_moderately_suitable,suitability_marginally_suitable,suitability_very_marginally_suitable,suitability_not_suitable,yield_maximum,yield_very_suitable,yield_suitable,yield_moderately_suitable,yield_marginally_suitable,yield_very_marginally_suitable,pH,organic_matter,texture_class,total_suitable_area,temperature_mean,humidity_mean,rainfall_mean,region,crop_name_clean,zone_label,total_suitable_area_calc,suitability_score,yield_score,soil_quality_index,climate_suitability,overall_suitability
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3.0,sfl,3409.95,796.631,1951.53,527.912,37.7632,76.4007,19.7165,4467.0,4003.0,3418.0,2629.0,1602.0,362.0,6.5,2.0,Unknown,2748.161,,,,,sunflower,zone_3.0,3390.2369000000003,0.7932631328905118,2.021043205730915,0.85,0.4,1.1336182148754792
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,5.0,sfl,0.31768,0.0597099,0.25797,0.0,0.0,0.0,0.0,4568.0,4568.0,3498.0,0.0,0.0,0.0,6.5,2.0,Unknown,0.3176799,,,,,sunflower,zone_5.0,0.31767989999999996,0.8375909720473431,1.6126094570928196,0.85,0.4,1.0288192259467832
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,6.0,sfl,353.7,4.62026,29.9711,99.894,89.5912,25.5104,104.113,4226.0,4139.0,3355.0,2448.0,1493.0,455.0,6.5,2.0,Unknown,34.59136,,,,,sunflower,zone_6.0,249.58696000000003,0.36605060785976823,2.1249408424041647,0.85,0.4,0.9939024958651568
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25.0,sfl,48.8912,3.18714,8.3787,14.2109,12.7274,3.70103,6.68604,4561.0,4278.0,3268.0,2508.0,1608.0,197.0,6.5,2.0,Unknown,11.56584,,,,,sunflower,zone_25.0,42.20517,0.49595440488267833,1.990747643060732,0.85,0.4,1.0056060548712908
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26.0,sfl,233.635,36.675,43.2995,41.3858,3.79284,33.2752,75.207,4671.0,4206.0,3642.0,2367.0,1535.0,328.0,6.5,2.0,Unknown,79.9745,,,,,sunflower,zone_26.0,158.42834,0.4465009780212725,1.9737529436951406,0.85,0.4,0.9807262743170513
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,33.0,sfl,8.16843,3.14595,1.67676,3.29439,0.0,0.0,0.0513422,3962.0,3960.0,3583.0,2398.0,0.0,0.0,6.5,2.0,Unknown,4.82271,,,,,sunflower,zone_33.0,8.1171,0.791338360003085,2.0861181221605247,0.85,0.4,1.1523707806493915
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35.0,sfl,6771.86,2859.24,2651.68,720.039,145.051,190.089,205.774,4716.0,4241.0,3480.0,2581.0,1532.0,353.0,6.5,2.0,Unknown,5510.92,,,,,sunflower,zone_35.0,6566.099,0.8134612351702487,1.9628922815945717,0.85,0.4,1.124252178546471
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,1.0,sfl,13.6415,6.57304,5.35983,0.379797,0.065996,1.26282,0.0,4716.0,4559.0,3546.0,2581.0,1388.0,310.0,6.5,2.0,Unknown,11.93287,,,,,sunflower,zone_1.0,13.641483,0.833320719862185,2.0274809160305343,0.85,0.4,1.1515725627540343
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2.0,sfl,182.969,120.531,26.6444,29.139,0.0,6.65437,0.0,4705.0,4303.0,3439.0,2619.0,0.0,359.0,6.5,2.0,Unknown,147.1754,,,,,sunflower,zone_2.0,182.96877,0.8780765812787958,1.8485441020191284,0.85,0.4,1.1157938631172568
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3.0,sfl,6988.92,473.774,4323.86,1358.34,149.71,470.237,212.999,4467.0,4028.0,3360.0,2494.0,1593.0,262.0,6.5,2.0,Unknown,4797.634,,,,,sunflower,zone_3.0,6775.921,0.7013669350915449,1.9928363554958586,0.85,0.4,1.0883976806853755
50.0,15.0,100.0,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,5.0,sfl,0.0276243,0.00519217,0.0224322,0.0,0.0,0.0,0.0,4568.0,4568.0,3498.0,0.0,0.0,0.0,6.5,2.0,Unknown,0.02762437,,,,,sunflower,zone_5.0,0.02762437,0.8375933507817392,1.6126094570928196,0.85,0.4,1.0288201774405417
