nitrogen,phosphorus,potassium,crop_name,source_file,processed_date,country,agro_ecological_zone,crop_code,area_hectares,suitability_very_suitable,suitability_suitable,suitability_moderately_suitable,suitability_marginally_suitable,suitability_very_marginally_suitable,suitability_not_suitable,yield_maximum,yield_very_suitable,yield_suitable,yield_moderately_suitable,yield_marginally_suitable,yield_very_marginally_suitable,pH,organic_matter,texture_class,total_suitable_area,temperature_mean,humidity_mean,rainfall_mean,region
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2,sfl,182.969,120.531,26.6444,29.139,0,6.65437,0,4705,4303,3439,2619,0,359,6.5,2,Unknown,147.1754,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3,sfl,6988.92,473.774,4323.86,1358.34,149.71,470.237,212.999,4467,4028,3360,2494,1593,262,6.5,2,Unknown,4797.634,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,5,sfl,0.0276243,0.00519217,0.0224322,0,0,0,0,4568,4568,3498,0,0,0,6.5,2,Unknown,0.02762437,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,6,sfl,1504.03,0.14784,226.055,464.244,241.218,79.7104,492.654,4021,4021,3301,2439,1466,287,6.5,2,Unknown,226.20284,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25,sfl,34.5454,0.278874,3.90295,12.1462,11.2324,3.29118,3.69375,4194,4194,3270,2511,1617,197,6.5,2,Unknown,4.181824,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26,sfl,253.607,50.6014,36.8051,18.3141,5.29445,62.5687,80.0228,4671,4018,3509,2397,1535,296,6.5,2,Unknown,87.4065,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,28,sfl,18.0828,15.4098,2.673,0,0,0,0,4268,4267,3737,0,0,0,6.5,2,Unknown,18.0828,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,33,sfl,65.1808,8.33957,40.0934,16.4971,0,0,0.250671,3969,3959,3160,2426,0,0,6.5,2,Unknown,48.43297,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35,sfl,9061,675.661,4665.42,1899.06,407.52,623.725,789.621,4716,4086,3358,2481,1518,269,6.5,2,Unknown,5341.081,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2,sfl,1.27754,0.159451,0.434176,0.670403,0,0.0135127,0,4572,4459,3216,2819,0,442,6.5,2,Unknown,0.593627,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3,sfl,20.4337,13.2933,6.16002,0.899774,0,0.0805901,0,4467,4005,3597,2450,0,238,6.5,2,Unknown,19.45332,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25,sfl,0.17026,0,0.0201604,0.14508,0.00501935,0,0,3185,0,3185,2445,1591,0,6.5,2,Unknown,0.0201604,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26,sfl,6.26662,0.680464,0.923119,0.0990015,0,2.17611,2.38793,4444,4406,3597,2611,0,393,6.5,2,Unknown,1.603583,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35,sfl,28.1481,14.1332,7.53748,1.81426,0.00501935,2.27021,2.38793,4572,4029,3574,2595,1591,388,6.5,2,Unknown,21.67068,,,,
